Year,Month,Day,State,Event Type
1963,June,8,MINNESOTA,Thunderstorm Wind
1963,June,8,MINNESOTA,Hail
1963,June,9,MINNESOTA,Tornado
1963,June,25,MINNESOTA,Tornado
1963,June,25,MINNESOTA,Tornado
1963,June,28,MINNESOTA,Thunderstorm Wind
1963,June,28,MINNESOTA,Thunderstorm Wind
1963,June,28,MINNESOTA,Thunderstorm Wind
1963,June,28,MINNESOTA,Thunderstorm Wind
1963,June,29,MINNESOTA,Hail
1963,July,16,MINNESOTA,Thunderstorm Wind
1963,July,16,MINNESOTA,Hail
1963,July,16,MINNESOTA,Thunderstorm Wind
1963,July,16,MINNESOTA,Hail
1963,July,16,MINNESOTA,Hail
1963,July,16,MINNESOTA,Tornado
1963,July,18,MINNESOTA,Hail
1963,July,18,MINNESOTA,Hail
1963,July,18,MINNESOTA,Thunderstorm Wind
1963,August,2,MINNESOTA,Thunderstorm Wind
1963,August,2,MINNESOTA,Tornado
1963,August,7,MINNESOTA,Hail
1963,August,7,MINNESOTA,Hail
1963,August,8,MINNESOTA,Hail
1963,August,11,MINNESOTA,Hail
1963,August,16,MINNESOTA,Hail
1963,October,21,MINNESOTA,Tornado
1963,October,21,MINNESOTA,Tornado
1964,May,8,MINNESOTA,Thunderstorm Wind
1964,August,10,MINNESOTA,Tornado
1964,May,5,MINNESOTA,Tornado
1964,May,5,MINNESOTA,Thunderstorm Wind
1964,May,4,MINNESOTA,Hail
1964,May,4,MINNESOTA,Thunderstorm Wind
1964,May,4,MINNESOTA,Hail
1964,May,5,MINNESOTA,Hail
1964,May,5,MINNESOTA,Hail
1964,May,5,MINNESOTA,Hail
1964,May,5,MINNESOTA,Thunderstorm Wind
1964,May,5,MINNESOTA,Thunderstorm Wind
1964,May,5,MINNESOTA,Tornado
1964,May,5,MINNESOTA,Thunderstorm Wind
1964,May,5,MINNESOTA,Tornado
1964,May,5,MINNESOTA,Thunderstorm Wind
1964,May,6,MINNESOTA,Thunderstorm Wind
1964,May,17,MINNESOTA,Hail
1964,May,22,MINNESOTA,Thunderstorm Wind
1964,May,23,MINNESOTA,Thunderstorm Wind
1964,May,23,MINNESOTA,Hail
1964,May,23,MINNESOTA,Thunderstorm Wind
1964,May,23,MINNESOTA,Thunderstorm Wind
1964,May,25,MINNESOTA,Tornado
1964,May,25,MINNESOTA,Hail
1964,May,25,MINNESOTA,Tornado
1964,May,25,MINNESOTA,Hail
1964,May,25,MINNESOTA,Hail
1964,May,25,MINNESOTA,Thunderstorm Wind
1964,May,25,MINNESOTA,Tornado
1964,June,7,MINNESOTA,Hail
1964,June,8,MINNESOTA,Hail
1964,June,8,MINNESOTA,Thunderstorm Wind
1964,June,8,MINNESOTA,Thunderstorm Wind
1964,June,8,MINNESOTA,Tornado
1964,June,8,MINNESOTA,Thunderstorm Wind
1964,June,8,MINNESOTA,Thunderstorm Wind
1964,June,8,MINNESOTA,Thunderstorm Wind
1964,June,8,MINNESOTA,Tornado
1964,June,23,MINNESOTA,Thunderstorm Wind
1964,June,23,MINNESOTA,Thunderstorm Wind
1964,July,8,MINNESOTA,Thunderstorm Wind
1964,July,9,MINNESOTA,Hail
1964,July,9,MINNESOTA,Hail
1964,July,9,MINNESOTA,Tornado
1964,July,23,MINNESOTA,Thunderstorm Wind
1964,August,10,MINNESOTA,Hail
1964,August,27,MINNESOTA,Hail
1964,August,28,MINNESOTA,Tornado
1964,September,9,MINNESOTA,Tornado
1964,September,9,MINNESOTA,Tornado
1964,September,9,MINNESOTA,Tornado
1964,September,9,MINNESOTA,Tornado
1964,September,9,MINNESOTA,Tornado
1964,September,26,MINNESOTA,Hail
1964,September,26,MINNESOTA,Tornado
1964,November,3,MINNESOTA,Hail
1964,June,18,MINNESOTA,Tornado
1964,June,18,MINNESOTA,Tornado
1964,June,18,MINNESOTA,Hail
